#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
chebi:"CHEBI:385419"	uniprotkb:P13612	-	-	chembl:CHEMBL354798|unknown:"InChI=1S/C30H33NO6S/c1-21-10-4-7-13-27(21)38(35,36)30(18-8-3-9-19-30)29(34)31-25(28(32)33)20-22-14-16-23(17-15-22)24-11-5-6-12-26(24)37-2/h4-7,10-17,25H,3,8-9,18-20H2,1-2H3,(H,31,34)(H,32,33)/t25-/m0/s1"|unknown:SAYYIMRPRXVLIL-VWLOTQADSA-N|unknown:"COc1ccccc1c2ccc(C[C@H](NC(=O)C3(CCCCC3)S(=O)(=O)c4ccccc4C)C(=O)O)cc2"|unknown:chembl354798	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Gutteridge et al (2003)	pubmed:12617914	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL817232|chembl:CHEMBL817231	chembl:high(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:383849"	uniprotkb:P13612	-	-	chembl:CHEMBL171481|unknown:"InChI=1S/C30H33NO6S/c1-21-10-16-24(17-11-21)38(35,36)30(18-6-3-7-19-30)29(34)31-26(28(32)33)20-22-12-14-23(15-13-22)25-8-4-5-9-27(25)37-2/h4-5,8-17,26H,3,6-7,18-20H2,1-2H3,(H,31,34)(H,32,33)/t26-/m0/s1"|unknown:PLQYIPNBZHAKRA-SANMLTNESA-N|unknown:"COc1ccccc1c2ccc(C[C@H](NC(=O)C3(CCCCC3)S(=O)(=O)c4ccc(C)cc4)C(=O)O)cc2"|unknown:chembl171481	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Gutteridge et al (2003)	pubmed:12617914	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL817232|chembl:CHEMBL817231	chembl:high(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:383863"	uniprotkb:P13612	-	-	chembl:CHEMBL168939|unknown:"InChI=1S/C28H35NO5S/c30-26(31)25(20-21-14-16-23(17-15-21)22-10-4-1-5-11-22)29-27(32)28(18-8-3-9-19-28)35(33,34)24-12-6-2-7-13-24/h1,4-5,10-11,14-17,24-25H,2-3,6-9,12-13,18-20H2,(H,29,32)(H,30,31)/t25-/m0/s1"|unknown:XSPFQONIPCCETL-VWLOTQADSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)c2ccccc2)NC(=O)C3(CCCCC3)S(=O)(=O)C4CCCCC4"|unknown:chembl168939	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Gutteridge et al (2003)	pubmed:12617914	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL817232	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:385554"	uniprotkb:P13612	-	-	chembl:CHEMBL353244|unknown:"InChI=1S/C26H29N3O6S/c1-29-16-15-27-25(29)36(33,34)26(13-5-6-14-26)24(32)28-21(23(30)31)17-18-9-11-19(12-10-18)20-7-3-4-8-22(20)35-2/h3-4,7-12,15-16,21H,5-6,13-14,17H2,1-2H3,(H,28,32)(H,30,31)/t21-/m0/s1"|unknown:DVLBSXLUGBCBRC-NRFANRHFSA-N|unknown:"COc1ccccc1c2ccc(C[C@H](NC(=O)C3(CCCC3)S(=O)(=O)c4nccn4C)C(=O)O)cc2"|unknown:chembl353244	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Gutteridge et al (2003)	pubmed:12617914	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL817232|chembl:CHEMBL817231	chembl:high(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:385404"	uniprotkb:P13612	-	-	chembl:CHEMBL353016|unknown:"InChI=1S/C29H30ClNO6S/c1-37-26-8-4-3-7-24(26)21-11-9-20(10-12-21)19-25(27(32)33)31-28(34)29(17-5-2-6-18-29)38(35,36)23-15-13-22(30)14-16-23/h3-4,7-16,25H,2,5-6,17-19H2,1H3,(H,31,34)(H,32,33)/t25-/m0/s1"|unknown:XFEBZCPSSQZCEA-VWLOTQADSA-N|unknown:"COc1ccccc1c2ccc(C[C@H](NC(=O)C3(CCCCC3)S(=O)(=O)c4ccc(Cl)cc4)C(=O)O)cc2"|unknown:chembl353016	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Gutteridge et al (2003)	pubmed:12617914	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL817232|chembl:CHEMBL817231	chembl:high(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:384139"	uniprotkb:P13612	-	-	chembl:CHEMBL170707|unknown:"InChI=1S/C26H33NO6S/c1-25(2,3)34(31,32)26(15-7-8-16-26)24(30)27-21(23(28)29)17-18-11-13-19(14-12-18)20-9-5-6-10-22(20)33-4/h5-6,9-14,21H,7-8,15-17H2,1-4H3,(H,27,30)(H,28,29)/t21-/m0/s1"|unknown:VFYLHJRNSIZWQQ-NRFANRHFSA-N|unknown:"COc1ccccc1c2ccc(C[C@H](NC(=O)C3(CCCC3)S(=O)(=O)C(C)(C)C)C(=O)O)cc2"|unknown:chembl170707	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Gutteridge et al (2003)	pubmed:12617914	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL817232|chembl:CHEMBL817231	chembl:high(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:385443"	uniprotkb:P13612	-	-	chembl:CHEMBL171507|unknown:"InChI=1S/C29H30FNO6S/c1-37-26-8-4-3-7-24(26)21-11-9-20(10-12-21)19-25(27(32)33)31-28(34)29(17-5-2-6-18-29)38(35,36)23-15-13-22(30)14-16-23/h3-4,7-16,25H,2,5-6,17-19H2,1H3,(H,31,34)(H,32,33)/t25-/m0/s1"|unknown:QSVHEGNXLMFWSO-VWLOTQADSA-N|unknown:"COc1ccccc1c2ccc(C[C@H](NC(=O)C3(CCCCC3)S(=O)(=O)c4ccc(F)cc4)C(=O)O)cc2"|unknown:chembl171507	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Gutteridge et al (2003)	pubmed:12617914	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL817232|chembl:CHEMBL817231	chembl:high(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:548921"	uniprotkb:P13612	-	-	chembl:CHEMBL452692|unknown:"InChI=1S/C31H31BrN6O3/c1-37(2)24-13-10-20(18-34-24)28-36-22-7-6-16-33-29(22)38(28)21-11-8-19(9-12-21)17-23(30(40)41)35-26-25(32)27(39)31(26)14-4-3-5-15-31/h6-13,16,18,23,35H,3-5,14-15,17H2,1-2H3,(H,40,41)/t23-/m0/s1"|unknown:PORQBGUSJHJLPQ-QHCPKHFHSA-N|unknown:"CN(C)c1ccc(cn1)c2nc3cccnc3n2c4ccc(C[C@H](NC5=C(Br)C(=O)C56CCCCC6)C(=O)O)cc4"|unknown:chembl452692	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549016"	uniprotkb:P13612	-	-	chembl:CHEMBL488488|unknown:"InChI=1S/C28H29BrN4O3/c29-22-23(28(24(22)34)13-2-1-3-14-28)31-21(27(35)36)16-17-9-11-19(12-10-17)33-25(18-6-4-7-18)32-20-8-5-15-30-26(20)33/h5,8-12,15,18,21,31H,1-4,6-7,13-14,16H2,(H,35,36)/t21-/m0/s1"|unknown:FVAIVLVJBJHRGN-NRFANRHFSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cccnc23)C4CCC4)NC5=C(Br)C(=O)C56CCCCC6"|unknown:chembl488488	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549017"	uniprotkb:P13612	-	-	chembl:CHEMBL488489|unknown:"InChI=1S/C28H31BrN4O3/c1-17(2)15-22-31-20-7-6-14-30-26(20)33(22)19-10-8-18(9-11-19)16-21(27(35)36)32-24-23(29)25(34)28(24)12-4-3-5-13-28/h6-11,14,17,21,32H,3-5,12-13,15-16H2,1-2H3,(H,35,36)/t21-/m0/s1"|unknown:SLEPRLLRUJDHNF-NRFANRHFSA-N|unknown:"CC(C)Cc1nc2cccnc2n1c3ccc(C[C@H](NC4=C(Br)C(=O)C45CCCCC5)C(=O)O)cc3"|unknown:chembl488489	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549018"	uniprotkb:P13612	-	-	chembl:CHEMBL527646|unknown:"InChI=1S/C29H31BrN4O3/c30-23-24(29(25(23)35)14-4-1-5-15-29)32-22(28(36)37)17-18-10-12-20(13-11-18)34-26(19-7-2-3-8-19)33-21-9-6-16-31-27(21)34/h6,9-13,16,19,22,32H,1-5,7-8,14-15,17H2,(H,36,37)/t22-/m0/s1"|unknown:PQAJPRNIUFHIOE-QFIPXVFZSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cccnc23)C4CCCC4)NC5=C(Br)C(=O)C56CCCCC6"|unknown:chembl527646	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:548917"	uniprotkb:P13612	-	-	chembl:CHEMBL450382|unknown:"InChI=1S/C34H35BrN6O3/c35-28-29(34(30(28)42)15-3-1-4-16-34)38-26(33(43)44)20-22-9-12-24(13-10-22)41-31(39-25-8-7-17-36-32(25)41)23-11-14-27(37-21-23)40-18-5-2-6-19-40/h7-14,17,21,26,38H,1-6,15-16,18-20H2,(H,43,44)/t26-/m0/s1"|unknown:IGQAJLNWDRBAAB-SANMLTNESA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cccnc23)c4ccc(nc4)N5CCCCC5)NC6=C(Br)C(=O)C67CCCCC7"|unknown:chembl450382	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:548918"	uniprotkb:P13612	-	-	chembl:CHEMBL455460|unknown:"InChI=1S/C31H31BrN6O3/c1-37(2)21-12-16-33-23(18-21)29-36-22-7-6-15-34-28(22)38(29)20-10-8-19(9-11-20)17-24(30(40)41)35-26-25(32)27(39)31(26)13-4-3-5-14-31/h6-12,15-16,18,24,35H,3-5,13-14,17H2,1-2H3,(H,40,41)/t24-/m0/s1"|unknown:HVYQTZIUJILNAJ-DEOSSOPVSA-N|unknown:"CN(C)c1ccnc(c1)c2nc3cccnc3n2c4ccc(C[C@H](NC5=C(Br)C(=O)C56CCCCC6)C(=O)O)cc4"|unknown:chembl455460	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:548919"	uniprotkb:P13612	-	-	chembl:CHEMBL516592|unknown:"InChI=1S/C30H27BrN4O3/c31-24-25(30(26(24)36)15-5-2-6-16-30)33-23(29(37)38)18-19-11-13-21(14-12-19)35-27(20-8-3-1-4-9-20)34-22-10-7-17-32-28(22)35/h1,3-4,7-14,17,23,33H,2,5-6,15-16,18H2,(H,37,38)/t23-/m0/s1"|unknown:JRYRCJCRZSYGMZ-QHCPKHFHSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cccnc23)c4ccccc4)NC5=C(Br)C(=O)C56CCCCC6"|unknown:chembl516592	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:548920"	uniprotkb:P13612	-	-	chembl:CHEMBL471561|unknown:"InChI=1S/C25H22BrF3N4O3/c26-18-19(24(20(18)34)10-2-1-3-11-24)31-17(22(35)36)13-14-6-8-15(9-7-14)33-21-16(5-4-12-30-21)32-23(33)25(27,28)29/h4-9,12,17,31H,1-3,10-11,13H2,(H,35,36)/t17-/m0/s1"|unknown:AGLXNRRKSIENTD-KRWDZBQOSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cccnc23)C(F)(F)F)NC4=C(Br)C(=O)C45CCCCC5"|unknown:chembl471561	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549020"	uniprotkb:P13612	-	-	chembl:CHEMBL486444|unknown:"InChI=1S/C27H29BrN4O3/c1-16(2)24-31-19-7-6-14-29-25(19)32(24)18-10-8-17(9-11-18)15-20(26(34)35)30-22-21(28)23(33)27(22)12-4-3-5-13-27/h6-11,14,16,20,30H,3-5,12-13,15H2,1-2H3,(H,34,35)/t20-/m0/s1"|unknown:BTGVFQXCQFVKOT-FQEVSTJZSA-N|unknown:"CC(C)c1nc2cccnc2n1c3ccc(C[C@H](NC4=C(Br)C(=O)C45CCCCC5)C(=O)O)cc3"|unknown:chembl486444	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549021"	uniprotkb:P13612	-	-	chembl:CHEMBL486445|unknown:"InChI=1S/C30H29BrN6O3/c1-32-23-12-9-19(17-34-23)27-36-21-6-5-15-33-28(21)37(27)20-10-7-18(8-11-20)16-22(29(39)40)35-25-24(31)26(38)30(25)13-3-2-4-14-30/h5-12,15,17,22,35H,2-4,13-14,16H2,1H3,(H,32,34)(H,39,40)/t22-/m0/s1"|unknown:VEWPLVJCTPFFPB-QFIPXVFZSA-N|unknown:"CNc1ccc(cn1)c2nc3cccnc3n2c4ccc(C[C@H](NC5=C(Br)C(=O)C56CCCCC6)C(=O)O)cc4"|unknown:chembl486445	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549860"	uniprotkb:P13612	-	-	chembl:CHEMBL471987|unknown:"InChI=1S/C26H23N5O3/c1-26(2)21(14-22(26)32)29-20(25(33)34)13-16-7-9-18(10-8-16)31-23(17-5-3-11-27-15-17)30-19-6-4-12-28-24(19)31/h3-12,14-15,20,29H,13H2,1-2H3,(H,33,34)/t20-/m0/s1"|unknown:XPOXILWLEPQOOH-FQEVSTJZSA-N|unknown:"CC1(C)C(=O)C=C1N[C@@H](Cc2ccc(cc2)n3c(nc4cccnc34)c5cccnc5)C(=O)O"|unknown:chembl471987	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:309306"	uniprotkb:P13612	-	-	chembl:CHEMBL339778|unknown:"InChI=1S/C26H24Cl2N2O8S/c27-21-7-4-8-22(28)20(21)16-38-18-11-9-17(10-12-18)13-23(26(34)35)29-24(31)14-30(15-25(32)33)39(36,37)19-5-2-1-3-6-19/h1-12,23H,13-16H2,(H,29,31)(H,32,33)(H,34,35)/t23-/m0/s1"|unknown:VPJJESVGYJPWNF-QHCPKHFHSA-N|unknown:"OC(=O)CN(CC(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O)S(=O)(=O)c3ccccc3"|unknown:chembl339778	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Stasiak et al (2003)	pubmed:14552799	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815267|chembl:CHEMBL818057	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549019"	uniprotkb:P13612	-	-	chembl:CHEMBL488822|unknown:"InChI=1S/C29H32BrN5O3/c30-23-24(29(25(23)36)12-2-1-3-13-29)33-22(28(37)38)17-18-6-8-20(9-7-18)35-26(19-10-15-31-16-11-19)34-21-5-4-14-32-27(21)35/h4-9,14,19,22,31,33H,1-3,10-13,15-17H2,(H,37,38)/t22-/m0/s1"|unknown:MYVWWHHYGXPOOR-QFIPXVFZSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cccnc23)C4CCNCC4)NC5=C(Br)C(=O)C56CCCCC6"|unknown:chembl488822	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:548923"	uniprotkb:P13612	-	-	chembl:CHEMBL471562|unknown:"InChI=1S/C27H29BrN4O3S/c1-36-15-11-21-30-19-6-5-14-29-25(19)32(21)18-9-7-17(8-10-18)16-20(26(34)35)31-23-22(28)24(33)27(23)12-3-2-4-13-27/h5-10,14,20,31H,2-4,11-13,15-16H2,1H3,(H,34,35)/t20-/m0/s1"|unknown:ONVNHFRCIGUQMP-FQEVSTJZSA-N|unknown:"CSCCc1nc2cccnc2n1c3ccc(C[C@H](NC4=C(Br)C(=O)C45CCCCC5)C(=O)O)cc3"|unknown:chembl471562	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:548924"	uniprotkb:P13612	-	-	chembl:CHEMBL471742|unknown:"InChI=1S/C26H24BrN5O3/c27-21-22(26(23(21)33)11-2-1-3-12-26)31-19(25(34)35)15-16-6-8-17(9-7-16)32-20(10-13-28)30-18-5-4-14-29-24(18)32/h4-9,14,19,31H,1-3,10-12,15H2,(H,34,35)/t19-/m0/s1"|unknown:GZKJUWNVJUCJGE-IBGZPJMESA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(CC#N)nc3cccnc23)NC4=C(Br)C(=O)C45CCCCC5"|unknown:chembl471742	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
